difficulty,question,option1,option2,option3,option4,answer
easy,What is the capital of France?,London,Paris,Rome,Berlin,Paris
easy,What color is the sky?,Blue,Red,Green,Yellow,Blue
easy,Which is a fruit?,Carrot,Apple,Broccoli,Potato,Apple
easy,What shape has three sides?,Square,Circle,Triangle,Rectangle,Triangle
easy,What is 2 + 2?,3,4,5,6,4
easy,How many legs does a spider have?,6,8,10,12,8
easy,What is 5 x 5?,10,15,20,25,25
easy,Which is a vegetable?,Apple,Potato,Banana,Mango,Potato
easy,Which animal barks?,Cat,Dog,Cow,Horse,Dog
easy,Which is used to write on paper?,Spoon,Pencil,Eraser,Ruler,Pencil
easy,Which is a mammal?,Shark,Crocodile,Whale,Eagle,Whale
easy,What color are bananas?,Red,Yellow,Blue,Green,Yellow
easy,What is H2O?,Oxygen,Hydrogen,Water,Salt,Water
easy,What is the opposite of 'big'?,Small,Large,Tall,Huge,Small
easy,What month comes after May?,June,April,July,August,June
easy,What month comes after May?,June,April,July,August,June
easy,What shape has three sides?,Square,Circle,Triangle,Rectangle,Triangle
easy,Which is a vegetable?,Apple,Potato,Banana,Mango,Potato
easy,Which is used to write on paper?,Spoon,Pencil,Eraser,Ruler,Pencil
easy,What is H2O?,Oxygen,Hydrogen,Water,Salt,Water
easy,What is 5 x 5?,10,15,20,25,25
easy,Which is a mammal?,Shark,Crocodile,Whale,Eagle,Whale
easy,Which animal barks?,Cat,Dog,Cow,Horse,Dog
easy,Which is a fruit?,Carrot,Apple,Broccoli,Potato,Apple
easy,What color are bananas?,Red,Yellow,Blue,Green,Yellow
easy,What is the opposite of 'big'?,Small,Large,Tall,Huge,Small
easy,What color is the sky?,Blue,Red,Green,Yellow,Blue
easy,What is the capital of France?,London,Paris,Rome,Berlin,Paris
easy,What is 2 + 2?,3,4,5,6,4
easy,How many legs does a spider have?,6,8,10,12,8
easy,Which is a fruit?,Carrot,Apple,Broccoli,Potato,Apple
easy,Which is used to write on paper?,Spoon,Pencil,Eraser,Ruler,Pencil
easy,What is the capital of France?,London,Paris,Rome,Berlin,Paris
easy,What is 2 + 2?,3,4,5,6,4
easy,What color is the sky?,Blue,Red,Green,Yellow,Blue
easy,Which is a mammal?,Shark,Crocodile,Whale,Eagle,Whale
easy,What color are bananas?,Red,Yellow,Blue,Green,Yellow
easy,What is 5 x 5?,10,15,20,25,25
easy,What is the opposite of 'big'?,Small,Large,Tall,Huge,Small
easy,How many legs does a spider have?,6,8,10,12,8
easy,Which animal barks?,Cat,Dog,Cow,Horse,Dog
easy,Which is a vegetable?,Apple,Potato,Banana,Mango,Potato
easy,What month comes after May?,June,April,July,August,June
easy,What is H2O?,Oxygen,Hydrogen,Water,Salt,Water
easy,What shape has three sides?,Square,Circle,Triangle,Rectangle,Triangle
easy,What is 2 + 2?,3,4,5,6,4
easy,What color is the sky?,Blue,Red,Green,Yellow,Blue
easy,What month comes after May?,June,April,July,August,June
easy,Which is a mammal?,Shark,Crocodile,Whale,Eagle,Whale
easy,Which animal barks?,Cat,Dog,Cow,Horse,Dog
medium,Largest mammal?,Elephant,Whale,Hippo,Giraffe,Whale
medium,Who invented telephone?,Newton,Bell,Edison,Tesla,Bell
medium,Boiling point of water?,90°C,100°C,110°C,120°C,100°C
medium,Main gas in air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
medium,Who wrote Hamlet?,Dickens,Shakespeare,Hemingway,Tolkien,Shakespeare
medium,Gas used by plants?,Oxygen,Carbon Dioxide,Nitrogen,Helium,Carbon Dioxide
medium,What is 12 x 12?,124,132,144,156,144
medium,Which language has most native speakers?,English,Mandarin,Spanish,Hindi,Mandarin
medium,Capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
medium,Prime number?,4,6,7,9,7
medium,Fastest land animal?,Lion,Cheetah,Horse,Leopard,Cheetah
medium,Which country has the most population?,USA,China,India,Russia,China
medium,Which planet is called the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
medium,Which ocean is largest?,Atlantic,Indian,Arctic,Pacific,Pacific
medium,Who painted Mona Lisa?,Picasso,Da Vinci,Van Gogh,Michelangelo,Da Vinci
medium,Boiling point of water?,90°C,100°C,110°C,120°C,100°C
medium,Which planet is called the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
medium,Who invented telephone?,Newton,Bell,Edison,Tesla,Bell
medium,Gas used by plants?,Oxygen,Carbon Dioxide,Nitrogen,Helium,Carbon Dioxide
medium,Capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
medium,Main gas in air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
medium,What is 12 x 12?,124,132,144,156,144
medium,Which country has the most population?,USA,China,India,Russia,China
medium,Largest mammal?,Elephant,Whale,Hippo,Giraffe,Whale
medium,Fastest land animal?,Lion,Cheetah,Horse,Leopard,Cheetah
medium,Who wrote Hamlet?,Dickens,Shakespeare,Hemingway,Tolkien,Shakespeare
medium,Who painted Mona Lisa?,Picasso,Da Vinci,Van Gogh,Michelangelo,Da Vinci
medium,Prime number?,4,6,7,9,7
medium,Which language has most native speakers?,English,Mandarin,Spanish,Hindi,Mandarin
medium,Which ocean is largest?,Atlantic,Indian,Arctic,Pacific,Pacific
medium,Which planet is called the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
medium,Which ocean is largest?,Atlantic,Indian,Arctic,Pacific,Pacific
medium,Main gas in air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
medium,Which country has the most population?,USA,China,India,Russia,China
medium,Who wrote Hamlet?,Dickens,Shakespeare,Hemingway,Tolkien,Shakespeare
medium,Fastest land animal?,Lion,Cheetah,Horse,Leopard,Cheetah
medium,Which language has most native speakers?,English,Mandarin,Spanish,Hindi,Mandarin
medium,Gas used by plants?,Oxygen,Carbon Dioxide,Nitrogen,Helium,Carbon Dioxide
medium,Who painted Mona Lisa?,Picasso,Da Vinci,Van Gogh,Michelangelo,Da Vinci
medium,Boiling point of water?,90°C,100°C,110°C,120°C,100°C
medium,Largest mammal?,Elephant,Whale,Hippo,Giraffe,Whale
medium,Capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
medium,Prime number?,4,6,7,9,7
medium,What is 12 x 12?,124,132,144,156,144
medium,Who invented telephone?,Newton,Bell,Edison,Tesla,Bell
medium,Capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
medium,Which country has the most population?,USA,China,India,Russia,China
medium,Main gas in air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
